City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,fonte boa,-2.4959,-66.2662,297.31,97,83,1.37,BR,1684715470
110,puerto san jose,13.9256,-90.8244,302.18,74,80,2.32,GT,1684715470
111,lodja,-3.4833,23.4333,294.37,97,100,0.44,CD,1684715471
112,iskateley,67.6803,53.1512,283.94,76,70,3.16,RU,1684715471
113,bengkulu,-3.8004,102.2655,299.67,77,89,1.15,ID,1684715472
114,port macquarie,-31.4333,152.9167,290.87,49,0,4.31,AU,1684715472
115,stanley,54.868,-1.6985,280.31,92,0,0.0,GB,1684715473
116,ghat,24.9647,10.1728,297.77,18,24,1.42,LY,1684715473
117,tokonou,9.65,-9.7833,295.27,88,100,1.8,GN,1684715473
118,yunyang,33.4474,112.7142,288.39,67,100,0.19,CN,1684715474
119,khandyga,62.6667,135.6,280.66,60,100,1.97,RU,1684715474
120,inarajan village,13.2736,144.7484,303.7,83,100,7.71,GU,1684715475
121,vilyuchinsk,52.9306,158.4028,277.3,95,100,2.54,RU,1684715475
122,orkney,-26.9802,26.6727,282.52,31,1,1.26,ZA,1684715475
123,pacific grove,36.6177,-121.9166,293.82,86,75,4.12,US,1684715422
124,murghob,38.1702,73.9667,273.83,51,7,2.19,TJ,1684715477
125,manaure,11.7751,-72.4445,300.42,83,100,4.87,CO,1684715477
126,longyearbyen,78.2186,15.6401,276.06,81,75,11.83,SJ,1684715478
127,kapuskasing,49.4169,-82.4331,282.2,37,20,3.09,CA,1684715478
128,sorong,-0.8833,131.25,301.3,75,57,4.47,ID,1684715479
129,kodiak,57.79,-152.4072,280.88,87,100,5.66,US,1684715480
130,kayangel,8.0823,134.7173,301.7,73,29,2.29,PW,1684715480
131,port mathurin,-19.6833,63.4167,297.74,74,10,1.28,MU,1684715481
132,vila velha,-20.3297,-40.2925,294.23,87,20,1.03,BR,1684715481
133,kavaratti,10.5669,72.642,302.77,73,90,5.63,IN,1684715482
134,georgetown,5.4112,100.3354,301.11,79,20,2.06,MY,1684715418
135,constantia,44.1833,28.65,287.53,87,14,5.49,RO,1684715483
136,yuzhno-kurilsk,44.0306,145.8556,284.17,84,45,0.3,RU,1684715484
137,ust-nera,64.5667,143.2,277.67,65,100,1.34,RU,1684715484
138,wailua homesteads,22.0669,-159.378,300.59,75,40,4.63,US,1684715485
139,gamba,-2.65,10.0,296.99,87,91,1.48,GA,1684715488
140,east london,-33.0153,27.9116,288.14,68,29,6.1,ZA,1684715489
141,papatowai,-46.5619,169.4708,284.23,64,100,3.77,NZ,1684715489
142,ulladulla,-35.35,150.4667,287.9,42,0,0.3,AU,1684715490
143,funafuti,-8.5243,179.1942,305.15,84,75,5.14,TV,1684715490
144,alice springs,-23.7,133.8833,285.9,62,0,3.09,AU,1684715437
145,college,64.8569,-147.8028,295.12,39,75,2.06,US,1684715396
146,veshenskaya,49.6303,41.7334,286.63,67,100,2.47,RU,1684715492
147,jabal os saraj,35.1183,69.2378,293.28,40,100,0.97,AF,1684715492
148,rabaul,-4.1967,152.1721,297.61,93,100,0.16,PG,1684715493
149,tralee,52.2704,-9.7026,283.97,95,100,2.48,IE,1684715493
150,ilomantsi,62.6716,30.9328,284.44,67,96,1.96,FI,1684715307
151,samana,19.2056,-69.3369,297.83,87,84,2.17,DO,1684715495
152,cockburn town,21.4612,-71.1419,299.86,77,100,3.65,TC,1684715495
153,cantley,53.5,-1.05,285.27,88,0,3.19,GB,1684715496
154,nizhneangarsk,55.7833,109.55,277.83,70,59,1.36,RU,1684715496
155,jiangzi,28.95,89.6333,276.46,53,98,1.6,CN,1684715497
156,malaya vishera,58.8454,32.2222,281.37,97,6,1.96,RU,1684715497
157,bintulu,3.1667,113.0333,298.38,100,40,2.57,MY,1684715498
158,ancud,-41.8697,-73.8203,280.01,89,100,1.27,CL,1684715498
159,weno,7.4515,151.8468,303.12,84,100,4.12,FM,1684715499
160,ierapetra,35.01,25.7353,291.01,80,81,6.71,GR,1684715499
161,black river,18.0264,-77.8487,300.07,80,14,1.26,JM,1684715499
162,belyy yar,53.6039,91.3903,286.09,44,0,2.0,RU,1684715500
163,borba,-4.3878,-59.5939,298.34,93,100,1.3,BR,1684715500
164,cabo san lucas,22.8909,-109.9124,306.32,31,0,5.14,MX,1684715500
165,lakatoro,-16.0999,167.4164,300.23,81,100,1.35,VU,1684715500
166,cuyo,10.8525,121.0086,301.76,74,100,2.83,PH,1684715501
167,qarchi gak,37.04,66.7889,300.49,19,99,2.24,AF,1684715501
168,santa ana,33.7456,-117.8678,303.93,73,40,4.63,US,1684715362
169,hawaiian paradise park,19.5933,-154.9731,299.88,81,75,4.63,US,1684715501
170,fort st. john,56.2499,-120.8529,296.09,33,75,6.17,CA,1684715502
171,nelson bay,-32.7167,152.15,288.77,62,0,4.47,AU,1684715502
172,barra do corda,-5.5,-45.25,297.38,81,7,0.86,BR,1684715502
173,utrik,11.2278,169.8474,301.13,82,100,6.5,MH,1684715502
174,kerikeri,-35.2268,173.9474,290.32,90,100,0.45,NZ,1684715503
175,terrace,54.5163,-128.6035,290.1,55,75,3.09,CA,1684715503
176,tocopilla,-22.092,-70.1979,292.16,70,17,3.7,CL,1684715503
177,port elizabeth,-33.918,25.5701,285.43,91,40,4.12,ZA,1684715504
178,mersa matruh,31.3525,27.2453,291.83,88,2,9.42,EG,1684715504
179,mohr,54.3528,9.7167,287.2,86,100,4.63,DE,1684715504
180,jalai nur,49.45,117.7,292.35,23,0,2.35,CN,1684715504
181,kanniyakumari,8.0833,77.5667,301.03,82,100,4.36,IN,1684715505
182,freetown,8.484,-13.2299,299.99,83,75,3.6,SL,1684715505
183,bandipura,34.4167,74.65,288.06,49,2,2.72,IN,1684715506
184,champerico,14.3,-91.9167,303.45,70,100,2.52,GT,1684715506
185,bentiu,9.2333,29.8333,302.94,35,88,1.05,SS,1684715506
186,taltal,-25.4,-70.4833,291.06,73,100,2.35,CL,1684715507
187,shevchenko,48.5,35.0,286.42,93,100,2.85,UA,1684715507
188,khovd,48.0056,91.6419,285.51,46,99,0.09,MN,1684715507
189,tiksi,71.6872,128.8694,265.02,81,13,2.07,RU,1684715508
190,dibba al-hisn,25.6196,56.2729,303.25,39,100,2.25,AE,1684715508
191,nuuk,64.1835,-51.7216,276.49,41,75,4.63,GL,1684715508
192,nova xavantina,-14.6667,-52.35,293.77,57,5,0.86,BR,1684715508
193,silopi,37.2497,42.4694,287.8,53,68,2.04,TR,1684715509
194,yanchep,-31.55,115.6833,291.22,41,58,5.48,AU,1684715509
195,anton lizardo,19.05,-95.9833,301.6,69,7,4.76,MX,1684715509
